publicacion,region,producto,flujo,unidad,anio,escenario,valor
RENOVABLES2025,Mundo,Energía solar concentrada,Capacidad,GW,2018,Caso principal,5.69
RENOVABLES2025,Mundo,Eólica marina,Capacidad,GW,2018,Caso principal,22.99
RENOVABLES2025,Mundo,Eólica terrestre,Capacidad,GW,2018,Caso principal,541.83
RENOVABLES2025,Mundo,Geotermia,Capacidad,GW,2018,Caso principal,13.23
RENOVABLES2025,Mundo,Hidroelectricidad,Capacidad,GW,2018,Caso principal,1296.74
RENOVABLES2025,Mundo,Sistemas FV a gran escala,Capacidad,GW,2018,Caso principal,312.32
RENOVABLES2025,Mundo,Sistemas FV distribuidos,Capacidad,GW,2018,Caso principal,226.44
RENOVABLES2025,Mundo,Bioenergía,Capacidad,GW,2019,Caso principal,137.53
RENOVABLES2025,Mundo,Energía oceánica,Capacidad,GW,2019,Caso principal,0.55
RENOVABLES2025,Mundo,Energía solar concentrada,Capacidad,GW,2019,Caso principal,6.3
RENOVABLES2025,Mundo,Eólica marina,Capacidad,GW,2019,Caso principal,28.63
RENOVABLES2025,Mundo,Eólica terrestre,Capacidad,GW,2019,Caso principal,595.22
RENOVABLES2025,Mundo,Geotermia,Capacidad,GW,2019,Caso principal,13.93
RENOVABLES2025,Mundo,Hidroelectricidad,Capacidad,GW,2019,Caso principal,1315.46
RENOVABLES2025,Mundo,Sistemas FV a gran escala,Capacidad,GW,2019,Caso principal,388.43
RENOVABLES2025,Mundo,Sistemas FV distribuidos,Capacidad,GW,2019,Caso principal,273.06
RENOVABLES2025,Mundo,Bioenergía,Capacidad,GW,2020,Caso principal,146.81
RENOVABLES2025,Mundo,Energía oceánica,Capacidad,GW,2020,Caso principal,0.54
RENOVABLES2025,Mundo,Energía solar concentrada,Capacidad,GW,2020,Caso principal,6.39
RENOVABLES2025,Mundo,Eólica marina,Capacidad,GW,2020,Caso principal,34.77
RENOVABLES2025,Mundo,Eólica terrestre,Capacidad,GW,2020,Caso principal,697.27
RENOVABLES2025,Mundo,Geotermia,Capacidad,GW,2020,Caso principal,14.32
RENOVABLES2025,Mundo,Hidroelectricidad,Capacidad,GW,2020,Caso principal,1338.25
RENOVABLES2025,Mundo,Sistemas FV a gran escala,Capacidad,GW,2020,Caso principal,472.51
RENOVABLES2025,Mundo,Sistemas FV distribuidos,Capacidad,GW,2020,Caso principal,338.82
RENOVABLES2025,Mundo,Bioenergía,Capacidad,GW,2021,Caso principal,157.15
RENOVABLES2025,Mundo,Energía oceánica,Capacidad,GW,2021,Caso principal,0.54
RENOVABLES2025,Mundo,Energía solar concentrada,Capacidad,GW,2021,Caso principal,6.25
